Cellline	Type	p53*	T2*	SF2	SF5	SF8	D0	n	Casp8	Casp16	Alpha	Beta	Alpha/Beta
SK-MEL-28	Melanoma	Mut.	36	0.95	0.31	0.115	2.8	1.88	1.24	1.42	-0.113413319	0.069529983	-1.631142623
SK-MEL-5	Melanoma	W.t.	26	0.852	0.24	0.0995	2.75	1.76	1.97	1.56	-0.056808221	0.068446298	-0.829967756
SK-OV-3	Ovary	Mut.	57	0.66	0.11	0.021	1.74	2.04	1.34	1.53	0.051959548	0.077899087	0.667011005
SN12C	Renal	Mut.	30	0.887	0.1903	0.0292	1.65	2.93	1.49	1.52	-0.12129522	0.090625184	-1.338427294
SNB-19	CNS	Mut.	35	0.38	0.053	0.002	0.9	12.5	1.75	1.89	0.41465824	0.034566887	11.99582259
SNB-75	CNS	Mut.	40	0.71	0.248	0.046	1.75	3.92	1.18	1.13	0.099498386	0.035873384	2.773599121
SR	Lymphoid	W.t.	27	0.068	0.00067	7.44E-06	0.75	1.13	1.22	1.91	1.265775265	0.039174261	32.31140146
SW-620	Colon	Mut.	21	0.58	0.0758	0.000251	0.52	1030	1.04	1.25	0.109985048	0.08118927	1.354674678
T-47D	Breast	Mut.	53	0.26	0.039	0.0047	1.5	1.03	1.1	1.05	0.690002222	-0.008232699	-83.81239381
TK-10	Renal	Mut.	34	0.518	0.08	0.0147	1.7	1.66	2.29	1.91	0.211386211	0.058751904	3.597946599
U251	CNS	Mut.	25	0.467	0.061	0.0072	1.5	1.27	1.17	0.96	0.261604162	0.059554424	4.392690659
UACC-257	Melanoma	W.t.	50	0.51	0.17	0.033	4.75	1.39	3.04	2.22	0.324859549	0.005906364	55.00161407
UACC-62	Melanoma	W.t.	31	0.387	0.035	0.0019	1	5.47	1.41	1.81	0.344121193	0.06527205	5.272106387
UO-31	Renal	W.t.	37	0.477	0.063	0.009	1.5	1.76	1.02	1.22	0.248249583	0.060934905	4.074012769
